('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         646801 function calls (620515 primitive calls) in 1.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      509    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      267    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
       15    0.000    0.000    0.005    0.000 dataclasses.py:795(_process_class)
       60    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1274    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     2496    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      192    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
      746    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      591    0.000    0.000    0.001    0.000 enum.py:531(__new__)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1204    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      226    0.000    0.000    0.004    0.000 typing.py:638(copy_with)
     1165    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      293    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      195    0.000    0.000    0.048    0.000 sre_compile.py:598(_code)
     1273    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     1588    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
  214/176    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       13    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      855    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      605    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      284    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1588    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      195    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      855    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1425    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
  244/243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      433    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      595    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      165    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
      242    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      152    0.000    0.000    0.551    0.004 ssl.py:1049(recv)
      355    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      242    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       88    0.000    0.000    0.002    0.000 typing.py:765(__getitem_inner__)
     1636    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      152    0.000    0.000    0.551    0.004 ssl.py:920(read)
      938    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
      164    0.000    0.000    0.001    0.000 _state.py:226(process_event)
      152    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
      360    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      435    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      444    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
      152    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
      902    0.000    0.000    0.000    0.000 element.py:1489(get)
     1353    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       94    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       28    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
    344/3    0.000    0.000    0.405    0.135 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       54    0.000    0.000    0.004    0.000 dataclasses.py:364(_create_fn)
      175    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      322    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
      881    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      762    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      504    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      165    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
       90    0.000    0.000    0.001    0.000 enum.py:835(__or__)
     1580    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      553    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
      183    0.000    0.000    0.003    0.000 typing.py:749(__getitem__)
      548    0.000    0.000    0.000    0.000 typing_extensions.py:117(_should_collect_from_parameters)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      319    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      365    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
     1366    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1066    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      601    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
       39    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       49    0.000    0.000    0.001    0.000 typing.py:824(__class_getitem__)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      549    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
      303    0.000    0.000    0.000    0.000 types.py:164(__get__)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      390    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       15    0.000    0.000    0.000    0.000 _util.py:105(make_sentinel)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       40    0.000    0.000    0.000    0.000 typing.py:535(__init__)
      437    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      361    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      195    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
      152    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
      338    0.000    0.000    0.130    0.000 re.py:234(compile)
      284    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      304    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
       47    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      159    0.000    0.000    0.005    0.000 _decoders.py:74(decode)
      528    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       37    0.000    0.000    0.000    0.000 dataclasses.py:657(_get_field)
      937    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       79    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.003    0.003 typing.py:19(<module>)
    47/20    0.000    0.000    0.235    0.012 {built-in method builtins.__import__}
      291    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
     1038    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      911    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       13    0.000    0.000    0.003    0.000 enum.py:394(_create_)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      112    0.000    0.000    0.000    0.000 typing_extensions.py:87(_check_generic)
      339    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
      104    0.000    0.000    0.000    0.000 _models.py:89(encoding)
       41    0.000    0.000    0.000    0.000 element.py:2011(__init__)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      334    0.000    0.000    0.001    0.000 typing.py:634(<genexpr>)
        2    0.000    0.000    0.012    0.006 _sockets.py:1(<module>)
      161    0.000    0.000    0.000    0.000 _connection.py:218(_server_switch_event)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      108    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      384    0.000    0.000    0.000    0.000 typing.py:481(__hash__)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
       59    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.388    0.194 _api.py:1(<module>)
      160    0.000    0.000    0.126    0.001 _client.py:122(__iter__)
      164    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
      160    0.000    0.000    0.126    0.001 connection_pool.py:345(__iter__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       23    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
       82    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       59    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      160    0.000    0.000    0.126    0.001 http11.py:289(__iter__)
       25    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
